"","WT_V_1","WT_V_2","WT_V_3","WT_10_1","WT_10_2","WT_10_3"
"FRA10AC1",415.09555305807,390.191557906731,349.616407213138,433.928932076682,333.192239201301,485.023257595778
"INTS4P2",17.4572896145917,6.3274306687578,8.7131814881779,9.21075563370315,4.98790777247457,6.87976251908904
"STKLD1",18.4271390376246,24.2551508969049,29.4069875226004,22.515180437941,18.9540495354034,12.899554723292
"C6orf62",7102.20732486973,5743.19790367583,5810.60290492863,6311.41444367192,6170.04191455104,6982.95895687538
"ISCU",1905.7541162596,1947.79407419928,2075.91548955838,1991.57005146515,2083.94786733987,2086.28798391375
"OSMR",13.5778919224602,28.4734380094101,8.7131814881779,21.4917631453073,28.9298650803525,18.9193469274949
"PACSIN2",4638.78979036623,5150.52856436885,5088.49798909589,4616.63540707054,4862.21249660821,4900.11085422117
"CENPO",489.773958631601,480.884730825593,470.511800361606,447.23335688092,522.732734555335,570.160318769505
"ARAP1",11257.0422531426,13382.5158644227,12867.1907626667,12910.4091465739,13499.2735954252,12446.350367347
"ACOT2",906.809210535736,1091.48179036072,1101.12831056848,1041.83880390109,1119.28650414329,1102.48194368402
"ZNF296",331.688502677243,487.212161494351,392.093166968005,481.006127537831,448.911699522711,384.4067307541
"COPE",1371.36708416848,1620.87682298012,1666.39595961402,1588.34363816748,1317.80523348778,1517.84760577402
"GGH",459.708626517582,422.883283028646,360.50788407336,466.67828544096,394.044714025491,478.143495076689
"TMEM44-AS1",150.326660570095,232.005791187786,211.294651088314,217.987883330975,190.538076908529,250.251361631864
"AVL9",2524.51804815457,2079.61554646506,1962.64413021207,2319.06358510793,2232.58751895962,2333.09946428607
"HMGA1",8939.10213209399,11529.6332502548,10935.0427676633,10425.5519600593,10428.7175706898,9230.06138967284
"TLK1",1783.55308895745,1639.8591149864,1629.36493828927,1518.75126226839,1593.13774252838,1725.10045166158
"ZNF888",133.839220378536,139.203474712672,177.531072821625,156.582845772954,115.71946032141,128.135576918033
"MTCO1P11",10.6683436533616,6.3274306687578,19.6046583484003,22.515180437941,6.9830708814644,23.2191985019255
"NDUFA5",1836.89480722426,1547.05679851128,1400.6439242246,1463.48672846617,1608.1014658458,2008.890655574
"PI4KA",6116.84031106833,6645.91134575194,6757.07224408196,6385.10048874155,6725.69484040471,5701.60318769505
"HTR7P1",354.964888830031,319.535248772269,402.984643828228,363.313138884958,436.940720868772,363.767443196833
"ZNF440",489.773958631601,479.830159047466,466.155209617517,448.256774173553,447.914117968216,452.344385630105
"UBE2O",1362.63843936119,1363.56130911731,1305.88807554066,1365.23866837333,1373.6698005395,1467.96932751062
"SLC22A15",918.447403612131,733.981957575905,846.267752039278,963.035672368296,731.227279444772,970.906485506441
"BTN3A1",390.849317482248,467.175297709951,424.767597548672,409.366917053473,345.16321785524,436.004949647268
"TEX10",1580.85455954358,1498.54649671747,1645.7021535796,1590.39047275274,1582.16434542893,1757.77932362725
"ANO7L1",32.9748803831177,17.9277202281471,50.1007935570229,41.960108997981,20.9492126443932,13.7595250381781
"FAM214A",1630.31688011826,1471.12763048619,1462.72534232786,1458.369642003,1277.90197130798,1605.56457789241
"RAPGEF4",15.517590768526,9.4911460031367,37.0310213247561,20.4683458526737,2.99274466348474,18.9193469274949
"FBXL14",252.160849988547,255.206370306565,297.337318284071,278.369503596362,251.390551732718,206.392875572671
"ORM2",29.0954826909862,18.9822920062734,23.9612490924892,25.5854323158421,32.9201912983322,33.5388422805591
"NAP1L4",3046.29703774625,2747.15948201901,2732.67154422979,2760.15643823304,2756.31783506945,2705.46661063177
"GCLM",485.894560939469,432.374429031783,486.84901565194,448.256774173553,401.027784906955,464.38397003851
